license,Distribute,Modify,Commercial Use,Relicense,Hold Liable,Use Patent Claims,Sublicense,Statically Link,Private Use,Use Trademark,Place Warranty,Include Copyright,Include License,Include Notice,Disclose Source,State Changes,Include Original,Give Credit,Rename,Contact Author,Include Install Instructions,Compensate for Damages,Pay Above Use Threshold
Do What The F*ck You Want To Public License___WTFPL license,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,can,can,can,can,can,can,can,must,can,can,can,can
Eiffel Forum License___EFL-2.0,can,can,can,can,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Historical Permission Notice and Disclaimer___HPND-license,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,can,must,must,can,can,can,can,can,can,can,can,can
IBM PowerPC Initialization and Boot Software (IBM-pibs),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Intel Open Source,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,can,must,can,can,can,can,can,can,can,can,can,can
Lucent Public License___LPL-1.02,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,can,must,can,can,must,can,can,can,can,can,can,can
MirOS (MirOS),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,can,must,can,can,can,can,can,can,can,can,can,can
OCLC Research Public License (OCLC-2.0),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,can,must,can,must,can,can,can,can,can,can,can,can
ODC Public Domain Dedication & License___PDDL-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
OpenSSL License___OpenSSL-license,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,can,can,must,can,can,can,can,can
PostgreSQL___PostgreSQL,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Q Public License___QPL-1.0,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Ruby License,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,can,can,must,can,can,can,can,can,can,can,can
Mozilla Public License 1.1___MPL-1.1,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,can,must,must,must,must,must,can,must,can,can,can,can,can
Sun Industry Standards Source License v1.2 (SISSL-1.2),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can,can,must,can,must,can,can,can,can,can,can,can,can
Vovida Software License___VSL-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
W3C Software Notice and License___W3C license,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,must,can,can,can,can,can,can,can
wxWindows Library___WXwindows license,can,can,can,cannot,cannot,cannot,can,can,cannot,cannot,cannot,must,can,can,can,can,must,can,can,can,can,can,can
Yahoo! Public License___YPL-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Zimbra Public License (Zimbra-1.3),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Zope Public License 2.1___ZPL-2.1,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,must,can,can,can,can,can,can,can
Netscape Public License___NPL-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can,must,must,must,must,must,can,must,can,can,can,can,can
Nokia Open Source License,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can,must,must,must,must,must,can,must,can,can,can,can,can
Sun Public License___SPL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can,must,must,must,must,must,can,must,can,can,can,can,can
Sybase Open Watcom Public (Watcom-1.0),can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,can,must,must,can,must,must,can,can,can,can,can,can,can
Open Public License___OPL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,can,must,must,must,must,must,can,must,can,can,can,can,can
RealNetworks Public Source License (RPSL-1.0),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can,must,must,can,must,must,can,can,can,can,can,can,can
Reciprocal Public License 1.5___RPL-1.5,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can,must,must,must,must,must,can,must,must,can,can,can,can
Creative Commons CC0___CC-0___CC0-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
Peer Production License,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,can,can,can,can,can,can,can,can
Creative Commons Attribution___CC-BY,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,must,can,must,can,can,can,can,can
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International___CC-BY-NC-SA,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,must,can,must,can,can,can,can,can
GG License 1.0 (GG1),can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,must,must,can,can,must,must,must,can,can,can,can,can
bzip2,cannot,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,must,can,can,can,can,can,can,can
Creative Commons Attribution-NonCommercial 4.0 International___CC-BY-NC,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,must,can,must,can,can,can,can,can
Creative Commons Attribution-ShareAlike 4.0 International___CC-BY-SA___CC-BY-SA-4.0___CC-BY-4.0___Creative Commons Attribution 4.0 International,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,must,can,must,can,can,can,can,can
Creative Commons Attribution-NoDerivatives 4.0 International___CC BY-ND,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,must,can,must,can,can,can,can,can
Agate License,cannot,cannot,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
Copyfree Open Innovation License___COIL-0.3,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Do What The Fuck You Want To But It's Not My Fault Public License v1___WTFNMFPL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
GNU Lesser General Public License (LGPL-3.0),can,can,can,cannot,cannot,can,cannot,cannot,cannot,cannot,can,must,must,can,must,must,must,can,can,can,must,can,can
The Spice Software License Version 1.1___Spice-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Apache License 1.1___Apache-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,must,can,can,can,can,can,can,can,can,can
Apache License 1.0___Apache-1.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Mug Foundation open formats license,can,cannot,can,cannot,cannot,can,cannot,cannot,can,cannot,cannot,must,must,can,can,can,must,must,can,can,can,can,can
CeCILL Free Software License Agreement v1.0___CECILL-1.0,can,can,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot,must,must,must,must,must,can,can,can,can,can,can,can
CeCILL Free Software License Agreement v1.1___CECILL-1.1,can,can,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot,must,must,must,must,must,can,can,can,can,can,can,can
CeCILL Free Software License Agreement v2.0___CECILL-2.0,can,can,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot,must,must,must,must,must,can,can,can,can,can,can,can
Simple non code license___SNCL license,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,must,can,can,can,must,can,can,can,can,can
Apple MIT License (AML),can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Zope Public License 1.1___ZPL-1.1,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,must,can,can,can,can,can,can,can
Zope Public License 2.0___ZPL-2.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,must,can,can,can,can,can,can,can
Mozilla Public License 1.0___MPL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can,must,must,can,must,must,can,can,can,can,can,can,can
Open Software License 1.0___OSL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Open Software License 1.1___OSL-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Open Software License 2.0___OSL-2.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Open Software License 2.1___OSL-2.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Tcl license,can,can,can,can,cannot,cannot,can,cannot,can,cannot,can,must,must,can,can,can,can,can,can,can,can,can,can
BSD-4-Clause,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,must,can,can,can,can,must,can,can,can,can,can
Universal Permissive License 1.0___UPL-1.0,can,can,can,cannot,cannot,can,can,cannot,can,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Unlicence___Unlicence license,can,can,can,can,cannot,cannot,can,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
Free Public License 1.0.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
gridSlider license,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
Afmparse license,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,must,can,can,can,must,can,can,can,can,can,cannot,can
CMU license,can,can,must,cannot,cannot,cannot,can,cannot,can,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Cube license,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,must,can,can,can,can,can,can,can,can,can,cannot,can
curl license,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
diffmark license,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
DOC License,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
psutils license,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,can,can,must,can,can,must,can,can,can,can,can,can
BSD 0-Clause License___BSD-0-Clause___BSD Zero Clause License,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
Wizardry license,can,can,cannot,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,can,must,can,can,can,can,must,can,can,can,can,can
