license,Distribute,Modify,Commercial Use,Relicense,Hold Liable,Use Patent Claims,Sublicense,Statically Link,Private Use,Use Trademark,Place Warranty,Include Copyright,Include License,Include Notice,Disclose Source,State Changes,Include Original,Give Credit,Rename,Contact Author,Include Install Instructions,Compensate for Damages,Pay Above Use Threshold
Creative Commons Attribution NonCommercial ShareAlike___CC-NC-SA,2,2,3,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4
Creative Commons Attribution NonCommercial NoDerivs___CC-NC-ND,2,3,3,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4
Academic Free License___AFL,2,2,2,4,3,4,2,4,4,3,4,1,4,4,1,4,1,4,4,4,4,4,4
Artistic License 2.0___Artistic-2.0,2,2,2,4,3,4,2,4,2,3,4,4,4,4,4,1,1,4,1,4,1,4,4
PHP License 3.0,2,2,2,4,3,4,2,4,4,3,4,1,1,4,4,4,4,4,4,4,4,4,4
Simple Public License 2.0___SPL-2.0,2,2,2,4,2,4,3,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,4
Eclipse Public License 1.0___EPL-1.0,2,2,2,4,3,2,2,4,2,3,4,1,1,1,1,4,1,1,4,4,1,1,4
IBM Public License___IPL,2,2,2,4,3,4,2,4,2,3,2,1,1,1,1,4,4,1,1,4,1,4,4
Apple Public Source License___APSL,2,2,2,4,3,4,2,4,4,3,2,1,1,4,1,1,4,4,4,4,4,4,4
University of Illinois - NCSA Open Source___NCSA,2,2,2,4,3,4,2,4,2,3,3,1,1,4,4,4,4,4,4,4,4,4,4
Do What The Fuck You Want To Public License___WTFPL-license,2,2,2,4,4,4,2,4,2,4,4,2,2,4,4,4,2,4,4,4,4,4,4
ISC License___ISC-license,2,2,2,4,3,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4
Beerware License___Beerware-license,2,2,2,4,4,4,2,2,4,4,2,1,2,4,4,4,4,4,2,4,4,4,4
Microsoft Reciprocal License___Ms-RL,2,2,2,4,3,4,2,4,2,3,3,1,1,4,1,4,4,4,4,4,4,4,4
Python Software Foundation License 2.0___PSF-2.0,2,2,2,4,3,4,4,4,4,3,4,1,1,4,4,1,4,4,4,4,4,4,4
GNU Affero General Public License v3.0 only___AGPL-3.0-only,2,2,2,2,3,2,3,2,2,3,2,1,1,1,1,1,4,4,4,4,1,4,3
SIL Open Font License v1.1___OFL-1.1,2,2,2,4,4,4,3,4,2,3,3,1,1,4,4,4,4,4,1,4,4,4,4
TÃ³ca Operating System General___TOSG-2.00,2,2,2,4,3,4,3,1,4,4,3,4,4,4,1,1,4,4,4,4,4,4,4
The Code Project Open License___CPOL,2,2,2,3,3,4,3,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,4
ODC Open Database License___ODbL,2,2,2,2,3,4,3,4,2,4,4,1,1,1,1,1,1,4,4,4,4,4,4
DON'T BE A DICK PUBLIC LICENSE,2,2,2,4,4,4,4,4,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4
X11 License,2,2,2,4,3,4,2,4,2,3,4,1,1,4,4,4,4,4,4,4,4,4,4
JSON License,2,2,2,4,3,4,2,4,2,4,4,1,1,4,4,4,4,4,4,4,4,4,4
Lisp Lesser General Public License___LLGPL,2,2,2,4,3,4,2,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4
Apache License 2.0___Apache-2.0,2,2,2,2,3,2,2,4,2,3,2,1,1,1,4,1,4,1,1,4,4,4,4
Aladdin Free Public License,2,2,3,4,3,4,3,4,4,4,3,4,1,4,4,1,1,4,4,4,4,4,4
Clarified Artistic License,2,2,2,4,3,4,4,4,4,4,4,1,4,4,1,1,4,4,4,4,4,4,4
Frameworx Open License___Frameworx-1.0,2,2,2,4,3,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4
Freetype Project License___FTL,2,2,2,4,3,4,2,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4
Qhull,2,2,4,4,3,4,4,4,4,4,2,1,4,1,1,1,4,4,4,4,4,4,4
The Don't Ask Me About It,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4
European Union Public License___EUPL-1.1,2,2,2,4,3,2,4,4,2,4,2,1,1,1,1,1,4,4,4,4,4,4,4
The Unlicense,4,2,2,4,3,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4
MiTTY,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4
Fair License,2,2,2,4,4,4,2,4,4,4,3,4,1,4,4,4,4,4,2,4,4,4,4
Educational Community License___ECL-2.0,2,2,2,4,3,4,2,4,2,3,2,1,1,1,4,1,4,4,4,4,4,4,4
Ubuntu Font License___UFL-1.0,2,2,4,4,4,4,3,4,4,3,4,1,1,4,4,4,4,4,3,4,4,4,4
Open Software Licence 3.0___OSL-3.0,2,2,2,4,3,4,2,4,4,3,4,1,1,4,1,4,4,4,4,4,4,4,4
Adaptive Public License 1.0___APL-1.0,2,2,2,4,3,2,4,4,2,3,2,1,1,1,1,1,4,1,4,4,4,4,4
ANTLR Software Rights Notice___ANTLR-PD,2,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,1,4,4,4,4,4
Attribution Assurance License___AAL,2,2,2,4,3,4,4,4,2,3,4,1,1,4,2,4,4,1,4,4,4,4,4
Common Public License___CPL-1.0,2,2,2,4,3,2,2,4,4,4,4,1,1,4,1,4,4,4,4,4,4,4,4
Condor Public License___Condor-1.1,2,2,2,4,3,4,2,4,4,3,4,1,1,4,4,4,4,4,4,4,4,4,4
Do What The F*ck You Want To Public License___WTFPL license,2,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4
Eiffel Forum License___EFL-2.0,2,2,2,2,3,4,2,4,2,4,4,1,1,4,4,4,4,4,4,4,4,1,4
Historical Permission Notice and Disclaimer___HPND-license,2,2,2,4,3,4,2,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4
IBM PowerPC Initialization and Boot Software (IBM-pibs),2,2,2,4,3,4,2,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4
Intel Open Source,2,2,2,4,3,4,2,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4
Lucent Public License___LPL-1.02,2,2,2,4,3,4,2,4,2,4,2,4,1,4,4,1,4,4,4,4,4,4,4
MirOS (MirOS),2,2,2,4,3,4,2,4,2,4,4,1,1,1,4,4,4,4,4,4,4,4,4
OCLC Research Public License (OCLC-2.0),2,2,2,4,3,4,2,4,4,3,4,1,1,1,1,4,4,4,4,4,4,4,4
ODC Public Domain Dedication & License___PDDL-1.0,2,2,2,3,3,4,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4
OpenSSL License___OpenSSL-license,2,2,2,4,3,4,4,4,2,3,4,1,1,4,4,4,4,1,4,4,4,4,4
PostgreSQL___PostgreSQL,2,2,2,4,3,4,4,4,2,4,4,1,1,4,4,4,4,4,4,4,4,4,4
Q Public License___QPL-1.0,2,2,3,4,3,4,4,2,2,4,4,1,1,4,1,4,4,4,4,4,4,4,3
Ruby License,2,2,2,4,3,4,2,4,2,4,4,1,4,4,1,4,4,4,4,4,4,4,4
Mozilla Public License 1.1___MPL-1.1,2,2,2,4,3,2,2,4,4,3,2,1,1,1,1,1,4,1,4,4,4,4,4
Sun Industry Standards Source License v1.2 (SISSL-1.2),2,2,2,4,3,4,2,4,4,3,2,4,1,4,1,4,4,4,4,4,4,4,4
Vovida Software License___VSL-1.0,2,2,2,4,3,4,4,4,2,3,4,1,1,4,4,4,4,4,4,4,4,4,4
W3C Software Notice and License___W3C license,2,2,2,4,3,4,4,4,2,3,4,1,1,1,4,1,4,4,4,4,4,4,4
wxWindows Library___WXwindows license,2,2,2,4,3,4,2,2,4,4,4,1,4,4,4,4,1,4,4,4,4,4,4
Yahoo! Public License___YPL-1.1,2,2,2,4,3,4,2,2,2,3,4,1,1,1,1,4,4,4,4,4,4,4,4
Zimbra Public License (Zimbra-1.3),2,2,2,4,3,4,2,4,4,3,4,1,1,4,1,4,4,4,4,4,4,4,4
Zope Public License 2.1___ZPL-2.1,2,2,2,4,3,4,4,4,4,3,4,1,1,4,4,1,4,4,4,4,4,4,4
Netscape Public License___NPL-1.1,2,2,2,4,3,4,3,4,4,3,2,1,1,1,1,1,4,1,4,4,4,1,4
Nokia Open Source License,2,2,2,4,3,4,2,4,2,3,2,1,1,1,1,1,4,1,4,4,4,4,4
Sun Public License___SPL-1.0,2,2,2,2,3,2,2,4,2,3,2,1,1,1,1,1,4,1,1,4,4,1,4
Sybase Open Watcom Public (Watcom-1.0),2,2,2,4,3,4,2,4,2,3,2,1,1,1,1,1,4,4,4,4,4,4,4
Open Public License___OPL-1.0,2,2,2,4,3,4,2,4,2,3,2,1,1,1,1,1,4,1,4,4,4,4,4
RealNetworks Public Source License (RPSL-1.0),2,2,2,4,3,4,2,4,4,3,2,1,1,4,1,1,4,4,4,4,4,4,4
Reciprocal Public License 1.5___RPL-1.5,2,2,2,4,3,4,2,4,4,3,2,1,1,1,1,1,4,1,1,4,4,1,4
Creative Commons CC0___CC-0___CC0-1.0,2,2,2,4,3,3,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3
Peer Production License,2,2,2,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4
Creative Commons Attribution___CC-BY,2,2,2,2,4,4,3,4,2,4,4,1,4,1,4,1,4,1,4,4,4,4,4
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International___CC-BY-NC-SA,2,2,3,4,3,4,3,4,4,4,3,1,4,4,4,1,4,1,2,4,4,4,4
GG License 1.0 (GG1),2,2,2,4,4,4,4,4,2,4,4,1,1,4,4,1,1,1,4,4,4,4,4
bzip2,4,2,2,4,3,4,4,4,4,3,4,1,1,4,4,1,4,4,4,4,4,4,4
Creative Commons Attribution-NonCommercial 4.0 International___CC-BY-NC,2,2,3,4,4,4,3,4,4,4,4,1,4,4,4,1,4,1,4,4,4,4,4
Creative Commons Attribution-ShareAlike 4.0 International___CC-BY-SA___CC-BY-SA-4.0___CC-BY-4.0___Creative Commons Attribution 4.0 International,2,2,2,4,4,4,3,4,4,4,4,1,4,4,4,1,4,1,4,4,4,4,4
Creative Commons Attribution-NoDerivatives 4.0 International___CC BY-ND,2,3,2,4,4,4,3,4,4,4,4,1,4,4,4,1,4,1,4,4,4,4,4
Agate License,3,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Copyfree Open Innovation License___COIL-0.3,2,2,2,4,3,4,4,4,2,4,4,1,1,4,4,4,4,4,4,4,4,4,4
Do What The Fuck You Want To But It's Not My Fault Public License v1___WTFNMFPL-1.0,2,2,2,4,3,4,2,4,2,4,4,2,2,4,4,4,2,4,4,2,4,4,4
GNU Lesser General Public License (LGPL-3.0),2,2,2,4,3,2,3,4,4,4,2,1,1,4,1,1,1,4,4,4,1,4,4
The Spice Software License Version 1.1___Spice-1.1,2,2,2,4,3,4,2,4,4,3,4,1,1,4,4,4,4,4,4,4,4,4,4
Apache License 1.1___Apache-1.1,2,2,2,4,3,4,2,4,4,3,4,1,1,1,4,4,4,4,4,4,4,4,4
Apache License 1.0___Apache-1.0,2,2,2,4,3,4,2,4,4,3,4,1,1,4,4,4,4,1,1,4,4,4,4
Mug Foundation open formats license,2,4,2,3,3,2,4,4,2,3,4,1,1,4,4,4,1,1,4,4,4,4,4
CeCILL Free Software License Agreement v1.0___CECILL-1.0,2,2,2,4,2,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4
CeCILL Free Software License Agreement v1.1___CECILL-1.1,2,2,2,4,2,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4
CeCILL Free Software License Agreement v2.0___CECILL-2.0,2,2,2,4,2,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4
Simple non code license___SNCL license,2,2,3,4,3,4,4,4,4,3,4,1,1,1,4,4,4,1,4,4,4,4,4
Apple MIT License (AML),2,2,2,2,3,4,2,4,2,3,3,1,1,1,4,4,4,4,4,4,4,4,4
Zope Public License 1.1___ZPL-1.1,2,2,2,4,3,4,4,4,4,3,4,1,1,4,4,1,4,4,4,4,4,4,4
Zope Public License 2.0___ZPL-2.0,2,2,2,4,3,4,4,4,4,3,4,1,1,4,4,1,4,4,4,4,4,4,4
Mozilla Public License 1.0___MPL-1.0,2,2,2,4,3,4,2,4,4,4,2,1,1,4,1,1,4,4,4,4,4,4,4
Open Software License 1.0___OSL-1.0,2,2,2,4,3,4,2,4,4,3,4,1,1,4,1,4,4,4,4,4,4,4,4
Open Software License 1.1___OSL-1.1,2,2,2,4,3,4,2,4,4,3,4,1,1,4,1,4,4,4,4,4,4,4,4
Open Software License 2.0___OSL-2.0,2,2,2,4,3,4,2,4,4,3,4,1,1,4,1,4,4,4,4,4,4,4,4
Open Software License 2.1___OSL-2.1,2,2,2,4,3,4,2,4,4,3,4,1,1,4,1,4,4,4,4,4,4,4,4
Tcl license,2,2,2,2,3,4,2,4,2,4,2,1,1,4,4,4,4,4,4,4,4,4,4
BSD-4-Clause,2,2,2,4,3,4,4,4,4,3,2,1,1,4,4,4,4,1,4,4,4,4,4
Universal Permissive License 1.0___UPL-1.0,2,2,2,4,3,2,2,4,2,4,4,1,1,4,4,4,4,4,4,4,4,4,4
Unlicence___Unlicence license,2,2,2,2,3,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Free Public License 1.0.0,2,2,2,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
gridSlider license,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Afmparse license,2,2,2,4,3,4,4,4,2,4,4,1,4,4,4,1,4,4,4,4,4,3,4
CMU license,2,2,1,4,3,4,2,4,2,4,4,1,1,4,4,4,4,4,4,4,4,4,4
Cube license,2,2,2,3,3,4,4,4,2,4,4,1,4,4,4,4,4,4,4,4,4,3,4
curl license,2,2,2,4,3,4,2,4,2,3,4,1,1,4,4,4,4,4,4,4,4,4,4
diffmark license,2,2,2,4,3,4,2,4,2,4,4,2,2,4,4,4,2,4,4,4,4,4,4
DOC License,2,2,2,4,3,4,4,4,2,3,4,1,1,4,4,4,4,4,4,2,4,4,4
psutils license,2,2,2,4,3,4,4,4,2,4,4,4,4,1,4,4,1,4,4,4,4,4,4
BSD 0-Clause License___BSD-0-Clause___BSD Zero Clause License,2,2,2,4,3,4,2,4,2,4,4,2,2,4,4,4,2,4,4,4,4,4,4
Wizardry license,2,2,3,4,3,4,4,4,2,4,4,4,1,4,4,4,4,1,4,4,4,4,4
