license,Distribute,Modify,Commercial Use,Relicense,Hold Liable,Use Patent Claims,Sublicense,Statically Link,Private Use,Use Trademark,Place Warranty
Ubuntu Font License___UFL-1.0,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Open Software Licence 3.0___OSL-3.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Adaptive Public License 1.0___APL-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,can
ANTLR Software Rights Notice___ANTLR-PD,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can
Attribution Assurance License___AAL,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Common Public License___CPL-1.0,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,cannot
Condor Public License___Condor-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Do What The F*ck You Want To Public License___WTFPL license,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Eiffel Forum License___EFL-2.0,can,can,can,can,cannot,cannot,can,cannot,cannot,cannot,cannot
Historical Permission Notice and Disclaimer___HPND-license,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
IBM PowerPC Initialization and Boot Software (IBM-pibs),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Intel Open Source,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Lucent Public License___LPL-1.02,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
MirOS (MirOS),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
OCLC Research Public License (OCLC-2.0),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
ODC Public Domain Dedication & License___PDDL-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
OpenSSL License___OpenSSL-license,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
PostgreSQL___PostgreSQL,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Q Public License___QPL-1.0,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Ruby License,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Mozilla Public License 1.1___MPL-1.1,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,can
Sun Industry Standards Source License v1.2 (SISSL-1.2),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can
Vovida Software License___VSL-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
W3C Software Notice and License___W3C license,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
wxWindows Library___WXwindows license,can,can,can,cannot,cannot,cannot,can,can,cannot,cannot,cannot
Yahoo! Public License___YPL-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Zimbra Public License (Zimbra-1.3),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Zope Public License 2.1___ZPL-2.1,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Netscape Public License___NPL-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can
Nokia Open Source License,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can
Sun Public License___SPL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can
Sybase Open Watcom Public (Watcom-1.0),can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,can
Open Public License___OPL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,can
RealNetworks Public Source License (RPSL-1.0),can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can
Reciprocal Public License 1.5___RPL-1.5,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can
Creative Commons CC0___CC-0___CC0-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
Peer Production License,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution___CC-BY,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International___CC-BY-NC-SA,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
GG License 1.0 (GG1),can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
bzip2,cannot,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution-NonCommercial 4.0 International___CC-BY-NC,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution-ShareAlike 4.0 International___CC-BY-SA___CC-BY-SA-4.0___CC-BY-4.0___Creative Commons Attribution 4.0 International,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution-NoDerivatives 4.0 International___CC BY-ND,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Agate License,cannot,cannot,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
Copyfree Open Innovation License___COIL-0.3,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
Do What The Fuck You Want To But It's Not My Fault Public License v1___WTFNMFPL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
GNU Lesser General Public License (LGPL-3.0),can,can,can,cannot,cannot,can,cannot,cannot,cannot,cannot,can
The Spice Software License Version 1.1___Spice-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Apache License 1.1___Apache-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Apache License 1.0___Apache-1.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Mug Foundation open formats license,can,cannot,can,cannot,cannot,can,cannot,cannot,can,cannot,cannot
CeCILL Free Software License Agreement v1.0___CECILL-1.0,can,can,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot
CeCILL Free Software License Agreement v1.1___CECILL-1.1,can,can,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot
CeCILL Free Software License Agreement v2.0___CECILL-2.0,can,can,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot
Simple non code license___SNCL license,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Apple MIT License (AML),can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
Zope Public License 1.1___ZPL-1.1,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Zope Public License 2.0___ZPL-2.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Mozilla Public License 1.0___MPL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can
Open Software License 1.0___OSL-1.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Open Software License 1.1___OSL-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Open Software License 2.0___OSL-2.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Open Software License 2.1___OSL-2.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Tcl license,can,can,can,can,cannot,cannot,can,cannot,can,cannot,can
BSD-4-Clause,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can
Universal Permissive License 1.0___UPL-1.0,can,can,can,cannot,cannot,can,can,cannot,can,cannot,cannot
Unlicence___Unlicence license,can,can,can,can,cannot,cannot,can,cannot,can,cannot,cannot
Free Public License 1.0.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
gridSlider license,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
Afmparse license,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
CMU license,can,can,must,cannot,cannot,cannot,can,cannot,can,cannot,cannot
Cube license,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
curl license,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
diffmark license,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
DOC License,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
psutils license,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
BSD 0-Clause License___BSD-0-Clause___BSD Zero Clause License,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
Wizardry license,can,can,cannot,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
