FDK-AAC.txt,UNKNOWN
copyleft-next 0.3.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/copyleft-next\ 0.3.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/copyleft-next\ 0.3.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
OLDAP-2.6.txt,UNKNOWN
checkmk-license.txt,UNKNOWN
GNU Free Documentation License v1.3 only - no invariants.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.3\ only\ -\ no\ invariants.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.3\ only\ -\ no\ invariants.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
OLDAP-2.8.txt,UNKNOWN
Sun Industry Standards Source License v1.2.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Sun\ Industry\ Standards\ Source\ License\ v1.2.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Sun\ Industry\ Standards\ Source\ License\ v1.2.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
OFL-1.0-RFN.txt,UNKNOWN
Sleepycat License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Sleepycat\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Sleepycat\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
IPA Font License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/IPA\ Font\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/IPA\ Font\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
deprecated_wxWindows-license.txt,UNKNOWN
Affero General Public License v1.0 or later.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Affero\ General\ Public\ License\ v1.0\ or\ later.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Affero\ General\ Public\ License\ v1.0\ or\ later.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
European Union Public License 1.2.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/European\ Union\ Public\ License\ 1.2.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/European\ Union\ Public\ License\ 1.2.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Adobe Glyph List License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Adobe\ Glyph\ List\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Adobe\ Glyph\ List\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
openvpn-openssl-exception.txt,UNKNOWN
LGPL-3.0-only.txt,GPLv3+
NGPL-license.txt,UNKNOWN
Matrix Template Library License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Matrix\ Template\ Library\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Matrix\ Template\ Library\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Giftware-license.txt,UNKNOWN
D-FSL-1.0.txt,UNKNOWN
CC-BY-SA-4.0.txt,UNKNOWN
GD License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/GD\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/GD\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
GNU Lesser General Public License v3.0 only.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/GNU\ Lesser\ General\ Public\ License\ v3.0\ only.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/GNU\ Lesser\ General\ Public\ License\ v3.0\ only.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Educational Community License v2.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Educational\ Community\ License\ v2.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Educational\ Community\ License\ v2.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
gnu-javamail-exception.txt,UNKNOWN
Adobe-Glyph.txt,UNKNOWN
BSD Protection License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/BSD\ Protection\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/BSD\ Protection\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
LZMA-SDK-9.22.txt,publicDomain
Open Government Licence v2.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ Government\ Licence\ v2.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ Government\ Licence\ v2.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Open LDAP Public License v2.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Naumen Public License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Naumen\ Public\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Naumen\ Public\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Noweb License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Noweb\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Noweb\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Norwegian Licence for Open Government Data (NLOD) 2.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Norwegian\ Licence\ for\ Open\ Government\ Data\ (NLOD)\ 2.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Norwegian\ Licence\ for\ Open\ Government\ Data\ (NLOD)\ 2.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
BSD-3-Clause-Attribution.txt,UNKNOWN
LGPLLR-license.txt,UNKNOWN
Academic Free License v1.2.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Academic\ Free\ License\ v1.2.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Academic\ Free\ License\ v1.2.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CC-BY-2.0.txt,UNKNOWN
FSF Unlimited License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/FSF\ Unlimited\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/FSF\ Unlimited\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Wsuipa-license.txt,UNKNOWN
Affero General Public License v1.0 only.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Affero\ General\ Public\ License\ v1.0\ only.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Affero\ General\ Public\ License\ v1.0\ only.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
SIL Open Font License 1.0 with Reserved Font Name.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/SIL\ Open\ Font\ License\ 1.0\ with\ Reserved\ Font\ Name.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/SIL\ Open\ Font\ License\ 1.0\ with\ Reserved\ Font\ Name.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Ricoh Source Code Public License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Ricoh\ Source\ Code\ Public\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Ricoh\ Source\ Code\ Public\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
APAFML-license.txt,UNKNOWN
LPPL-1.0.txt,UNKNOWN
SMLNJ-license.txt,UNKNOWN
OML-license.txt,UNKNOWN
CC-BY-NC-3.0-DE.txt,UNKNOWN
LZMA SDK License (versions 9.11 to 9.20).txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/LZMA\ SDK\ License\ (versions\ 9.11\ to\ 9.20).txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/LZMA\ SDK\ License\ (versions\ 9.11\ to\ 9.20).txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
BSD with attribution.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/BSD\ with\ attribution.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/BSD\ with\ attribution.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
gnuplot-license.txt,UNKNOWN
CMU License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/CMU\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/CMU\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
xinetd License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/xinetd\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/xinetd\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CUA-OPL-1.0.txt,UNKNOWN
Open LDAP Public License v2.4.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.4.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v2.4.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
enna License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/enna\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/enna\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
AMDPLPA-license.txt,UNKNOWN
Common Development and Distribution License 1.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Common\ Development\ and\ Distribution\ License\ 1.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Common\ Development\ and\ Distribution\ License\ 1.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
X11 License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/X11\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/X11\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Creative Commons Attribution Share Alike 2.5 Generic.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ Share\ Alike\ 2.5\ Generic.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ Share\ Alike\ 2.5\ Generic.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CPAL-1.0.txt,UNKNOWN
AFL-1.1.txt,UNKNOWN
Open LDAP Public License v1.3.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v1.3.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ LDAP\ Public\ License\ v1.3.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
W3C-20150513.txt,UNKNOWN
Info-ZIP License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Info-ZIP\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Info-ZIP\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Apple Public Source License 1.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Apple\ Public\ Source\ License\ 1.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Apple\ Public\ Source\ License\ 1.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
